City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
7,Kapaa,US,79.12,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
8,Faanui,PF,78.46,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
10,Jacqueville,CI,80.53,few clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
12,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
13,Yeppoon,AU,76.78,overcast clouds,-23.1333,150.7333,Villa Mar Colina
18,Kahului,US,77.97,broken clouds,20.8947,-156.47,Maui Seaside Hotel
21,Nueve De Julio,AR,85.96,clear sky,-35.4444,-60.8831,Grand Hotel Libertad - GHL
23,The Valley,AI,84.06,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
31,Atuona,PF,77.65,clear sky,-9.8,-139.0333,Villa Enata
38,Butaritari,KI,81.28,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
42,Tres Lagoas,BR,88.39,clear sky,-20.7511,-51.6783,Druds Express Hotel
43,Natal,BR,81.25,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
49,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
50,Maine-Soroa,NE,75.13,broken clouds,13.2114,12.0241,Complexe
51,Banda Aceh,ID,78.93,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
56,Rawson,AR,79.18,clear sky,-43.3002,-65.1023,Hosteria Sampedro
69,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
85,Bengkulu,ID,75.52,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
87,Buala,SB,82.27,light rain,-8.145,159.5921,Maringe Lagoon Lodge
91,Cabo San Lucas,MX,83.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
93,Calamar,CO,83.48,moderate rain,10.2511,-74.9146,Hostal Katyalex
94,Hithadhoo,MV,81.3,overcast clouds,-0.6,73.0833,Scoop Guest House
96,Bowen,AU,78.89,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
101,Bonanza,NI,85.37,broken clouds,14.0289,-84.591,Edificio Administrativo HEMCO
106,Kudahuvadhoo,MV,81.1,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
107,Padang,ID,75.33,overcast clouds,-0.9492,100.3543,Mercure Padang
108,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
114,Coruripe,BR,77.22,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
