City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Puerto Ayora,EC,-0.7393,-90.3518,80.56,90,66,5.01,broken clouds
1,La Roche-Sur-Yon,FR,46.6667,-1.4333,50.32,87,75,8.05,broken clouds
2,Torbay,CA,47.6666,-52.7314,37.27,79,75,16.11,broken clouds
3,Saint-Philippe,RE,-21.3585,55.7679,67.59,75,34,9.15,light rain
4,Ahipara,NZ,-35.1667,173.1667,65.34,85,100,1.1,overcast clouds
5,Mocuba,MZ,-16.8392,36.9856,72.63,90,61,1.14,broken clouds
6,Mataura,NZ,-46.1927,168.8643,58.48,57,99,2.48,overcast clouds
7,Kapaa,US,22.0752,-159.319,79.12,63,40,12.66,scattered clouds
8,Faanui,PF,-16.4833,-151.75,78.46,77,98,1.36,light rain
9,Busselton,AU,-33.65,115.3333,53.47,86,43,7.92,scattered clouds
10,Jacqueville,CI,5.2052,-4.4146,80.53,78,11,10.54,few clouds
11,Hobart,AU,-42.8794,147.3294,46.26,75,75,14.97,broken clouds
12,Cockburn Town,TC,21.4612,-71.1419,84.16,70,40,11.5,scattered clouds
13,Yeppoon,AU,-23.1333,150.7333,76.78,80,87,4.92,overcast clouds
14,Rikitea,PF,-23.1203,-134.9692,74.82,81,100,17.47,overcast clouds
15,Leningradskiy,RU,69.3833,178.4167,6.24,92,100,3.56,overcast clouds
16,Ushuaia,AR,-54.8,-68.3,64.06,29,75,12.66,broken clouds
17,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,84,20,6.91,few clouds
18,Kahului,US,20.8947,-156.47,77.97,83,75,12.66,broken clouds
19,North Guwahati,IN,26.2014,91.7236,66.15,94,40,0.0,mist
20,Ballina,AU,-28.8667,153.5667,67.01,79,1,9.01,clear sky
21,Nueve De Julio,AR,-35.4444,-60.8831,85.96,31,2,7.0,clear sky
22,Cape Town,ZA,-33.9258,18.4232,64.11,89,75,5.75,light rain
23,The Valley,AI,18.217,-63.0578,84.06,78,20,14.97,few clouds
24,Ilulissat,GL,69.2167,-51.1,23.02,93,75,4.61,light snow
25,Tahta,EG,26.7693,31.5021,63.64,41,0,7.18,clear sky
26,Punta Arenas,CL,-53.15,-70.9167,55.51,54,0,23.02,clear sky
27,Shieli,KZ,44.1667,66.75,35.91,72,67,10.33,broken clouds
28,New Norfolk,AU,-42.7826,147.0587,45.91,77,100,4.0,overcast clouds
29,Thompson,CA,55.7435,-97.8558,14.16,92,20,5.75,few clouds
30,Barrow,US,71.2906,-156.7887,24.82,80,100,29.93,overcast clouds
31,Atuona,PF,-9.8,-139.0333,77.65,72,4,17.29,clear sky
32,Camana,PE,-16.6228,-72.7111,68.72,70,8,6.29,clear sky
33,Ponta Do Sol,PT,32.6667,-17.1,70.43,72,100,4.34,overcast clouds
34,Mehamn,NO,71.0357,27.8492,40.91,87,75,17.27,broken clouds
35,Port Hardy,CA,50.6996,-127.4199,42.98,81,75,4.61,broken clouds
36,Tepla,CZ,49.98,12.8643,36.75,95,54,3.78,broken clouds
37,Price,US,39.5994,-110.8107,39.11,25,0,5.75,clear sky
38,Butaritari,KI,3.0707,172.7902,81.28,78,40,14.7,scattered clouds
39,Staveley,GB,53.2667,-1.35,48.4,94,89,8.3,overcast clouds
